Accession ID,Virus name,City,Province,Country,Collection date
EPI_ISL_410540,BetaCoV/pangolin/Guangxi/P5L/2017,,Guangxi,China,2017
EPI_ISL_410541,BetaCoV/pangolin/Guangxi/P5E/2017,,Guangxi,China,2017
EPI_ISL_410542,BetaCoV/pangolin/Guangxi/P2V/2017,,Guangxi,China,2017
EPI_ISL_410543,BetaCoV/pangolin/Guangxi/P3B/2017,,Guangxi,China,2017
EPI_ISL_410544,BetaCoV/pangolin/Guangdong/P2S/2019,,Guangdong,China,2019
EPI_ISL_410545,BetaCoV/Italy/INMI1-isl/2020,,Rome,Italy,2020/1/29
EPI_ISL_410546,BetaCoV/Italy/INMI1-cs/2020,,Rome,Italy,2020/1/31
EPI_ISL_410713,BetaCoV/Singapore/7/2020,,,Singapore,2020/1/27
EPI_ISL_410714,BetaCoV/Singapore/8/2020,,,Singapore,2020/2/3
EPI_ISL_410715,BetaCoV/Singapore/9/2020,,,SIngapore,2020/2/4
EPI_ISL_410716,BetaCoV/Singapore/10/2020,,,SIngapore,2020/2/4
EPI_ISL_410717,BetaCoV/Australia/QLD03/2020,Gold Coast,Queensland,Australia,2020/2/5
EPI_ISL_410718,BetaCoV/Australia/QLD04/2020,Gold Coast,Queensland,Australia,2020/2/5
EPI_ISL_410719,BetaCoV/Singapore/11/2020,,,Singapore,2020/2/2
EPI_ISL_410720,BetaCoV/France/IDF0372/2020,Paris,Ile-de-France,France,2020/1/23
EPI_ISL_410721,BetaCoV/pangolin/Guandong/1/2020,Panguolin,Guangdong,China,2020/2/16
EPI_ISL_411060,BetaCoV/Fujian/8/2020,,Fujian,China,2020/1/21
EPI_ISL_411066,BetaCoV/Fujian/13/2020,,Fujian,China,2020/1/22
EPI_ISL_411218,BetaCoV/France/IDF0571/2020,Pairs,Ile-de-France,France,2020/2/2
EPI_ISL_411219,BetaCoV/France/IDF0386/2020,Pairs,Ile-de-France,France,2020/1/28
EPI_ISL_411220,BetaCoV/France/IDF0386/2020,Pairs,Ile-de-France,France,2020/1/28
EPI_ISL_411902,BetaCoV/Cambodia/0012/2020,,Sihanoukville,Cambodia,2020/1/27
EPI_ISL_411915,BetaCoV/Taiwan/CGMH-CGU-01/2020,Taoyuan,Taiwan,China,2020/1/25
EPI_ISL_411926,BetaCoV/Taiwan/3/2020,Taipei,Taiwan,China,2020/1/24
EPI_ISL_411927,BetaCoV/Taiwan/4/2020,Taipei,Taiwan,China,2020/1/28
EPI_ISL_411929,BetaCoV/South Korea/SNU01/2020,South Korea,South Korea,South Korea,2020/1/20
EPI_ISL_411950,BetaCoV/Jiangsu/JS01/2020,,Jiangsu,China,2020/1/23
EPI_ISL_411951,BetaCoV/Sweden/01/2020,Sweden,Sweden,Sweden,2020/2/7
EPI_ISL_411952,BetaCoV/Jiangsu/JS02/2020,,Jiangsu,China,2020/1/24
EPI_ISL_411953,BetaCoV/Jiangsu/JS03/2020,,Jiangsu,China,2020/1/24
EPI_ISL_411954,BetaCoV/USA/CA7/2020,,California,USA,2020/2/6
EPI_ISL_411955,BetaCoV/USA/CA8/2020,,California,USA,2020/2/10
EPI_ISL_411956,BetaCoV/USA/TX1/2020,,Texas,USA,2020/2/11
EPI_ISL_411957,BetaCoV/China/WH-09/2020,Wuhan,Hubei,China,2020/1/8
EPI_ISL_412026,BetaCoV/Hefei/2/2020,Hefei,Anhui,China,2020/2/23
EPI_ISL_412028,BetaCoV/Hong Kong/VM20001061/2020,Hong Kong,Hong Kong,China,2020/1/22
EPI_ISL_412029,BetaCoV/Hong Kong/VM20001988/2020,Hong Kong,Hong Kong,China,2020/1/30
EPI_ISL_412030,BetaCoV/Hong Kong/VB20026565/2020,Hong Kong,Hong Kong,China,2020/2/1
EPI_ISL_412116,BetaCoV/England/03/2020,,England,England,2020/2/9
